NCT ID,Title,Status,Phases,Study Type,Enrollment Count,Enrollment Type,Principal Investigators,Start Date,Completion Date,Primary Completion Date,Sponsor,Collaborators,Conditions,Interventions,Minimum Age,Maximum Age,Gender,Brief Summary,Detailed Description,Study URL,Tags,Age Group,Tumor Type,Surgery Category
NCT02478164,Phase II Trial of Ponatinib in Patients With Bevacizumab-Refractory Glioblastoma,COMPLETED,['PHASE2'],INTERVENTIONAL,17,ACTUAL,"Eudocia Lee, MD (Dana-Farber Cancer Institute)",7/13/2015,5/9/2018,7/8/2017,Dana-Farber Cancer Institute,,Glioblastoma,Ponatinib,18 years,,ALL,This research study is studying a chemotherapy as a possible treatment for recurrent glioblastoma that has not responded to bevacizumab. The name of the study drug involved in this study is Ponatinib.,"This research study is a Phase II clinical trial. Phase II clinical trials test the safety and effectiveness of an investigational intervention to learn whether the intervention works in treating a specific disease. ""Investigational"" means that the intervention is being studied.

The FDA (the U.S. Food and Drug Administration) has not approved Ponatinib for your specific disease but it has been approved for other uses.

Ponatinib is a drug that may stop cancer cells from growing by affecting different kinds of proteins in cancer cells. Glioblastoma cells can be driven by mutated forms of a protein called c-kit (KIT) which are present in glioblastoma cells. Laboratory studies suggest that ponatinib has activity against mutated forms of (KIT) which is important in glioblastoma and therefore suggests that ponatinib may help to control the growth of glioblastoma. In this research study the study team is looking to see if ponatinib is safe and is able to control the growth of glioblastoma in people who have not responded to treatment with bevacizumab.",https://clinicaltrials.gov/study/NCT02478164,chemotherapy,Adult,Unclear,Unclear
NCT00486603,A Phase I/II Trial of Hydroxychloroquine in Conjunction With Radiation Therapy and Concurrent and Adjuvant Temozolomide in Patients With Newly Diagnosed Glioblastoma Multiforme,COMPLETED,"['PHASE1', 'PHASE2']",INTERVENTIONAL,92,ACTUAL,,10/29/2007,2014-01,2013-06,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,National Cancer Institute (NCI),Brain and Central Nervous System Tumors,hydroxychloroquine; temozolomide; pharmacological study; Radiation,18 years,120 years,ALL,"RATIONALE: Drugs used in chemotherapy, such as hydroxychloroquine and temozolomide, work in different ways to stop the growth of tumor cells, either by killing the cells or by stopping them from dividing. Radiation therapy uses high-energy x-rays to kill tumor cells. Giving hydroxychloroquine together with temozolomide and radiation therapy may kill more tumor cells.

PURPOSE: This phase I/II trial is studying the side effects and best dose of hydroxychloroquine when given together with radiation therapy and temozolomide and to see how well they work in treating patients with newly diagnosed glioblastoma multiforme.","OBJECTIVES:

Primary

* Determine the maximum tolerated dose of hydroxychloroquine when administered in combination with radiotherapy and temozolomide in patients with newly diagnosed glioblastoma multiforme. (Phase I)
* Assess the toxicity of this regimen in these patients. (Phase I)
* Determine the overall survival of patients treated with this regimen. (Phase II)

Secondary

* Assess the frequency of toxicity of this regimen in these patients. (Phase II)
* Evaluate the pharmacokinetics and pharmacodynamics of this regimen in these patients.
* Correlate the average change in autophagic vesicles from baseline with genotype, toxicity, and clinical outcomes.
* Correlate the presence of TP53 and PTEN genes and BECN1 with toxicity and clinical outcomes.

OUTLINE: This is a multicenter, open-label, phase I, dose-escalation study of hydroxychloroquine followed by a phase II study.

* Phase I:

  * Initiation therapy: Patients receive oral temozolomide daily for 6 weeks and undergo conformal or intensity-modulated radiotherapy 5 days a week for 6 weeks. Patients also receive oral hydroxychloroquine daily for 10 weeks beginning concurrently with temozolomide and radiotherapy.

Cohorts of 3-6 patients receive escalating doses of hydroxychloroquine until the maximum tolerated dose (MTD) is determined. The MTD is defined as the dose preceding that at which 2 of 3 or 2 of 6 patients experience dose-limiting toxicity.

* Maintenance therapy: Beginning 28 days after completion of radiotherapy, patients receive oral temozolomide on days 1-5 and oral hydroxychloroquine on days 1-28. Treatment repeats every 4 weeks for up to 6 courses in the absence of disease progression or unacceptable toxicity. Patients may then continue to receive hydroxychloroquine alone as above in the absence of disease progression or unacceptable toxicity.

  * Phase II:
* Initiation therapy: Patients receive hydroxychloroquine at the MTD determined in phase I, temozolomide, and radiotherapy as in phase I.
* Maintenance therapy: Patients receive hydroxychloroquine at the MTD determined in phase I and temozolomide as in phase I.

Patients undergo blood and tissue sample collection periodically for pharmacological and correlative studies. Samples are analyzed for the mutational status of TP53 and PTEN genes and copy number of BECN1 via PCR; changes in autophagy protein LC3 via gel electrophoresis; and differences in the formation of LC3-II via immunoblotting.

After completion of study treatment, patients are followed every 2 months.",https://clinicaltrials.gov/study/NCT00486603,chemotherapy,Adult,Primary,Unclear
NCT05015543,Glioblastoma and Sports - Does a Personal Training Program Improve Physical Performance and Quality of Life of Brain Tumor Patients,COMPLETED,['NA'],INTERVENTIONAL,54,ACTUAL,"Dorothee Wiewrodt, PD Dr. med. (Universitätsklinikum Münster)",7/23/2020,12/1/2024,10/17/2024,University Hospital Muenster,,Glioblastoma,Personal Training Program,18 years,,ALL,"The aim of the present study is the prospective controlled use of physical activity in a collective of patients with glioblastoma after surgery and concomitant radiation/chemotherapy and during adjuvant cytotoxic therapy. The research question is whether physical exercise is feasible and whether patients benefit physically and mentally from the activities performed. For this purpose, specific training units under the supervision of a certified trainer and sports scientist as well as standardized sports medical test procedures are implemented. Beyond the instructed training, general physical activity phases are recorded electronically using a pedometer/activity tracker, which is worn at all times.

It will be examined whether the individual training program

1. improves physical fitness
2. increases quality of life/life satisfaction throughout the intervention
3. can be detected in blood due to increased concentrations of brain-derived neurotrophic factor 1 (BDNF-1) (voluntary)

The measurements should be taken before and 8, 16 and 24 weeks after the start of training.","The personal trainers of the university clinics in Bochum and Homburg/Saar receive specific training activities from Münster's trainer Ralf Brandt in order to ensure a standardized concept. This way, a comparison of the trainings' conduction and recording is possible both quantitatively and qualitatively.",https://clinicaltrials.gov/study/NCT05015543,imaging; chemotherapy,Adult,Unclear,Post-Surgery
NCT00390403,"A Phase I, Open Label Study of AT-101 Plus Radiotherapy and Temozolomide and of AT-101 Plus Adjuvant Temozolomide for Patients With Newly-Diagnosed Glioblastoma Multiforme",COMPLETED,['PHASE1'],INTERVENTIONAL,50,ESTIMATED,,2007-02,,2009-06,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,National Cancer Institute (NCI),Brain and Central Nervous System Tumors,R-(-)-gossypol acetic acid; temozolomide; gene expression analysis; mutation analysis; protein expression analysis; laboratory biomarker analysis; pharmacological study; adjuvant therapy; radiation therapy,18 years,,ALL,"RATIONALE: Drugs used in chemotherapy, such as gossypol and temozolomide, work in different ways to stop the growth of tumor cells, either by killing the cells or by stopping them from dividing. Radiation therapy uses high-energy x-rays to kill tumor cells. Gossypol may help temozolomide work better by making tumor cells more sensitive to the drug. Gossypol may also make tumor cells more sensitive to radiation therapy. Giving gossypol and temozolomide together with radiation therapy may kill more tumor cells.

PURPOSE: This phase I trial is studying the side effects and best dose of gossypol when given together with temozolomide with or without radiation therapy in treating patients with newly diagnosed glioblastoma multiforme.","OBJECTIVES:

Primary

* Determine the maximum tolerated dose (MTD) of gossypol (AT-101) when administered with radiotherapy (RT) and concurrent temozolomide (TMZ) in patients with newly diagnosed glioblastoma multiforme.
* Determine the MTD of gossypol when administered with adjuvant TMZ after standard RT and concurrent TMZ in these patients.

Secondary

* Assess the toxicity of these treatment regimens.
* Assess and describe the pharmacokinetics of gossypol.
* Determine, preliminarily, the therapeutic activities of these regimens.
* Determine the relationship between these regimens and cellular and molecular features identified in tumor biopsy specimens.

OUTLINE: This is a multicenter, open-label, nonrandomized, dose-escalation study of gossypol. Patients are assigned to 1 of 2 treatment groups. Patients who participate in group I are NOT eligible for group II.

* Group I: Patients receive oral gossypol and undergo radiotherapy once daily 5 days a week for up to 6 weeks. Patients also receive oral temozolomide once daily for up to 6 weeks. Treatment continues in the absence of disease progression or unacceptable toxicity.
* Group II: Patients receive oral temozolomide on days 1-5 and oral gossypol once daily on days 1-21. Treatment repeats every 28 days for up to 6 courses in the absence of disease progression or unacceptable toxicity.

Cohorts of 3-10 patients per treatment group receive escalating doses of gossypol until the maximum tolerated dose (MTD) is determined. The MTD is defined as the dose at which 2 of 6 or 3 of 10 patients experience dose-limiting toxicity.

Patients undergo blood collection periodically for pharmacokinetic studies. Tumor tissue samples are examined for biomarkers including, but not limited to, Bcl-2 family protein expression (e.g., Bcl-2, Bcl-xL, MCl-1, Bax, Bak, and BH3 domain), MGMT gene methylation status, and gene expression array.

After completion of study treatment, patients are followed every 2 months.

PROJECTED ACCRUAL: A total of 50 patients will be accrued for this study.",https://clinicaltrials.gov/study/NCT00390403,chemotherapy,Adult,Primary,Post-Surgery
NCT00179803,Phase II Prospective Study of Sequential Myeloablative Chemotherapy With Stem Cell Rescue for the Treatment of Selected High Risk CNS Tumors and Recurrent CNS Tumors,COMPLETED,['PHASE2'],INTERVENTIONAL,24,ACTUAL,"Stewart Goldman, MD (Ann & Robert H Lurie Children's Hospital of Chicago)",1998-03,2009-09,2008-01,Ann & Robert H Lurie Children's Hospital of Chicago,,Glioblastoma; Astrocytoma; Pineoblastoma; Rhabdoid Tumor; Supratentorial Neoplasms,Stem Cell Transplant,18 months,25 years,ALL,"The primary goal of this study is to determine if a stem cell transplant in patients with newly diagnosed high risk CNS tumors (glioblastoma multiforme \[GBM\], high grade astrocytoma, pineoblastoma, rhabdoid tumor, supratentorial primitive neuroectodermal tumor \[PNET\]) increases overall survival.",,https://clinicaltrials.gov/study/NCT00179803,,Children,Primary,Unclear
NCT03149003,"A Randomized, Multicenter, Adaptive Phase 3 Study of DSP-7888 Dosing Emulsion in Combination With Bevacizumab Versus Bevacizumab Alone in Patients With Recurrent or Progressive Glioblastoma Following Initial Therapy (WIZARD 201G)",COMPLETED,['PHASE3'],INTERVENTIONAL,221,ACTUAL,,12/8/2017,8/30/2021,8/30/2021,"Sumitomo Pharma America, Inc.",,Glioblastoma,DSP-7888 Dosing Emulsion; Bevacizumab,18 years,,ALL,"This is an event driven, adaptive design, a randomized, active-controlled, multicenter, open-label, parallel groups, Phase 3 study of DSP-7888 Dosing Emulsion plus Bevacizumab versus Bevacizumab alone in patients with recurrent or progressive glioblastoma multiforme (GBM) following treatment with first line therapy consisting of surgery and radiation with or without chemotherapy.",,https://clinicaltrials.gov/study/NCT03149003,chemotherapy,Adult,Unclear,Surgery
NCT06835803,Enhanced Local Intensified Radiation Therapy in Elderly Glioblastoma (ELITE-GBM): a Phase 2 Hybrid Randomized Trial Leveraging External Data,NOT_YET_RECRUITING,['PHASE2'],INTERVENTIONAL,56,ESTIMATED,,4/1/2025,3/31/2029,3/31/2028,Brigham and Women's Hospital,,Glioblastoma (GBM),Dose-escalated radiation therapy; Standard hypofractionated radiation,65 years,,ALL,"Glioblastoma (GBM) is an aggressive malignancy of the central nervous system. Older adults with GBM have a unique constellation of medical, psychosocial, and supportive care needs. To address these challenges, prior work has evaluated the feasibility of hypofractionation, a treatment approach delivering fewer, larger radiation dosages over a shorter time period. Common hypofractionated regimens deliver a lower biologically equivalent radiation dose than the conventional regimens used for younger adults. Whether dose escalated hypofractionation can further improve outcomes in older adults remains unclear.

This will be a hybrid randomized control trial comparing the efficacy and safety of dose-escalated and standard hypofractionated radiotherapy among older adults with newly-diagnosed glioblastoma compared to standard three-week course. This research study involves the administration of radiation therapy. Radiation will either be delivered at the standard daily dose or at an increased daily dose over a three weeks course of radiation treatment.

Research study procedures will include a screening evaluation to assess eligibility, as well as clinical visits for radiation delivery and to assess symptoms during treatment and at scheduled follow-up times.

Participants will be randomly assigned to one of the two arms of the trial:

1. Standard hypofractionated radiation over 3 weeks
2. Dose-escalated hypofractionated radiation over 3 weeks",,https://clinicaltrials.gov/study/NCT06835803,,Adult,Unclear,Unclear
NCT00980343,A Biomarker and Phase II Study of GDC-0449 in Patients With Recurrent Glioblastoma Multiforme,COMPLETED,['PHASE2'],INTERVENTIONAL,44,ACTUAL,"Charles Nock, MD (National Cancer Institute (NCI))",2010-02,2012-06,2012-05,National Cancer Institute (NCI),,Adult Giant Cell Glioblastoma; Adult Glioblastoma; Adult Gliosarcoma; Recurrent Adult Brain Tumor,vismodegib; therapeutic conventional surgery; laboratory biomarker analysis; pharmacological study,18 years,,ALL,This randomized phase II trial is studying how well GDC-0449 works in treating patients with recurrent glioblastoma multiforme that can be removed by surgery. GDC-0449 may be effective in treating patients with glioblastoma multiforme.,"PRIMARY OBJECTIVES:

I. 6-month progression-free survival (PFS-6) measured from start of treatment following surgery.

SECONDARY OBJECTIVES:

I. Toxicity. (Clinical) II. Overall survival. (Clinical) III. Tumor response. Partial Response (PR) + Complete Response (CR): MacDonald criteria). (Clinical)

Correlative Studies

* Determination of in vivo drug effect in recurrent Glioblastoma Multiform (GBM). (Correlative studies)
* Determination of in vitro drug effect on CD133+ glioma-derived neurospheres. (Correlative studies)
* Determination of Sonic Hedgehog pathway activation in primary vs. recurrent GBM. (Correlative studies)

TERTIARY OBJECTIVES:

I. Correlate clinical outcome (6 mo PFS) with biologic correlates (1-3) above.

OUTLINE: This is a multicenter study. Patients are randomized to 1 of 2 treatment arms.

Arm I: Patients receive oral Hedgehog antagonist GDC-0449 once daily for 7 days before surgery.

Arm II: Patients do not receive treatment before surgery. Beginning within 28 days after surgical resection, all patients receive oral Hedgehog antagonist GDC-0449 once daily on days 1-28. Courses repeat every 28 days in the absence of disease progression or unacceptable toxicity.

Fresh and paraffin-embedded tissue samples are collected for correlative laboratory studies.

After completion of study treatment, patients are followed up every 2 months.",https://clinicaltrials.gov/study/NCT00980343,surgery,Adult,Unclear,Surgery
NCT03374943,A Phase I Safety and Bioimaging Trial of KB004 in Patients With Glioblastoma,COMPLETED,['PHASE1'],INTERVENTIONAL,12,ACTUAL,Hui Gan (Austin Health),12/5/2017,9/22/2021,1/25/2021,Olivia Newton-John Cancer Research Institute,"Humanigen, Inc.",Glioblastoma,KB004,18 years,,ALL,"This is a study of drug KB004 in patients with recurrent glioblastoma (GBM). Eligible patients with measurable tumours will receive an initial trace (5mg) dose of zirconium labelled KB004 (89ZrKB004) on day 1 followed by sequential Positron emission tomography (PET) imaging over 1 week to determine its biodistribution into GBM and normal tissues. Safety assessments and pharmacokinetic (movement of drug) sampling will also be undertaken over this time. On Day 8, patients commence weekly KB004 infusions over 2 hours with standard premedications. Three cohorts are planned in this study (3.5mg/kg, 5.25 mg/kg, 7.9 mg/kg; additional dose levels may be explored based on toxicity, efficacy and biodistribution data as determined by the safety monitoring committee). On day 36, patients receive both 89ZrKB004 and KB004, allowing assessment of receptor occupancy to guide recommended phase two dose (RPTD) determination. Response rate (RANO) and survival data will be collected and patients benefiting may continue KB004 treatment until disease progression. Primary objective: to determine the toxicity and recommended phase two dose (RPTD) of KB004 in patients with advanced Glioblastoma (GBM).

Secondary objectives: to determine the biodistribution and pharmacokinetics of 89ZrKB004; to determine frequency of EphA3 (ephrin receptor A3) positive glioblastoma in archival specimens and by 89ZrKB004 scans, and correlate with known biomarkers; to describe response rates per RANO criteria (Response Assessment in Neuro-Oncology Criteria) and pharmacodynamics following KB004 infusion; Exploratory objectives: to perform exploratory analysis between clinical outcomes and biodistribution/Pharmacokinetics (PK)/pharmacodynamics (PD) data, including from matched biopsies.",,https://clinicaltrials.gov/study/NCT03374943,imaging,Adult,Unclear,Unclear
NCT04091503,"Pilot Study to Evaluate the Safety, Tolerability and Effectiveness of Intranasal Administration of Temozolomide in Patients With Glioblastoma (Phase I)",COMPLETED,['PHASE1'],INTERVENTIONAL,30,ACTUAL,,12/20/2019,10/28/2022,9/21/2022,Center Trials & Treatment Europe,,"Glioma, Malignant; Gliosarcoma; Astrocytoma of Brain",Intranasal Modified Temozolomide,21 years,70 years,ALL,"The purpose of this pilot study is to determine the safety, tolerability, and the maximum tolerated dose intranasal administration of temozolomide (TMZ) as a single agent in Treatment on the patients with GBM.

Intranasal administration is a new method of treating brain tumours for the direct administration of drugs, inhibitors or viruses, with minimal involvement of the BBB. The investigators know the orally prescribed standard chemotherapy temozolomide (TMZ) is widely used to treat glioma tumours.

Received evidence of safety and efficacy in a full cycle of preclinical trials (on GLP Standart) and tests of calculated doses of intranasal administration of TMZ in healthy volunteers.

Intranasal administration of temozolomide is considered as GBM therapy, which provides direct access to a therapeutic dose of the drug into the brain (to the neoplastic process) with low toxicity","The investigators are trying to evaluate a clinically potentially effective intranasal way of delivering TMZ to the brain, taking into account the anatomical structure of os ethmoidal.

The most important factor in the effectiveness of the drug is the achievement of an adequate amount of the active agent in its unbound state with albumin on the blood of a patient and the exposure time to the tumour process. Failure to comply with this requirement (difficulties in overcoming the BBB) was identified as the main obstacle to the successful treatment of all types of brain tumours. Translation to improved clinical outcomes in a patient with GBM has not yet been realized. The investigators will use modified temozolomide (without changing the chemical formula) to exclude as much as possible Anosmia, Hyposmia and other violation of the identification of odours with participants.",https://clinicaltrials.gov/study/NCT04091503,chemotherapy,Adult,Unclear,Unclear
NCT00813943,"Cilengitide in Subjects With Newly Diagnosed Glioblastoma and Unmethylated MGMT Gene Promoter - a Multicenter, Open-label Phase II Study, Investigating Two Cilengitide Regimens in Combination With Standard Treatment (Temozolomide With Concomitant Radiation Therapy, Followed by Temozolomide Maintenance Therapy). [The CORE Study]",COMPLETED,['PHASE2'],INTERVENTIONAL,265,ACTUAL,,2009-03,2013-08,2013-02,EMD Serono,"Merck KGaA, Darmstadt, Germany",Glioblastoma,Cilengitide (2-times weekly); cilengitide (5-times weekly); Temozolomide; Radiotherapy,18 years,,ALL,"CORE is a Phase 2 clinical trial in newly diagnosed glioblastoma in subjects with an unmethylated O6-methylguanine-deoxyribonucleic acid methyltransferase (MGMT) gene promoter in the tumor tissue.

The MGMT gene promoter is a section of deoxyribonucleic acid (DNA) that acts as a controlling element in the expression of MGMT. Methylation of the MGMT gene promoter has been found to appear to be a predictive marker for benefit from temozolomide (TMZ) treatment.

In a safety run-in period in dedicated study centers, the safety and tolerability of Cilengitide given as an intense treatment in combination with the first part of standard therapy will be assessed. Thereafter the trial will investigate the overall survival and progression-free survival in subjects receiving two different regimens of Cilengitide in combination with standard treatment versus standard treatment alone.",,https://clinicaltrials.gov/study/NCT00813943,chemotherapy,Adult,Primary,Unclear
NCT02871843,G-FORCE-1: An Open-Label Phase 1 Two Part Dose Escalation Trial of RRx-001 Concurrent With Radiation and Temozolomide and RRx-001 + Temozolomide Post-RT In Newly Diagnosed Glioblastoma and Anaplastic Gliomas With Intact 1p/19q Chromosomes,COMPLETED,['PHASE1'],INTERVENTIONAL,19,ACTUAL,,2/14/2017,9/19/2021,10/11/2019,"EpicentRx, Inc.",,Glioblastoma; Oligodendroglioma; Anaplastic Oligodendroglioma,RRx-001 dose escalation with TMZ + RT; Radiation; Fixed dose Temozolomide (75 mg/m2); TMZ Maintenance,18 years,,ALL,"This is a two-part Phase I add-on clinical trial in newly diagnosed glioblastoma or GBM. By ""add-on"" what is meant is that the experimental intravenous therapy, RRx-001, is combined or ""added on"" to standard of care. In newly diagnosed GBM standard of care consists of radiotherapy + temozolomide (TMZ) for 6 weeks followed (after a 4-6 weeks break) by maintenance TMZ given until the tumor progresses or worsens. By ""maintenance"" therapy what is meant is that TMZ is given less frequently to prolong or extend the time during which the tumor remains stable.

G-FORCE-1 will be conducted in two parts; in the first part of the study (Dose Escalation, Part A) patients will be entered or assigned sequentially (that is consecutively) to gradually escalating or increasing doses of RRx-001 after patients have been entered on the previous dose until such time as it is no longer tolerated. At each dose level, a separate cohort or small group of at least 3 evaluable patients will be treated. RRx-001 will be administered by intravenous infusion (in other words, by slow injection in the veins) over 30-45 minutes once weekly during radiotherapy for 6 weeks followed by the FDA-approved chemotherapy, temozolomide (TMZ) alone for up to 6 months or longer.

In the second part of this study (Part B), new groups or cohorts of patients will receive RRx-001 at the dose established in Part A by intravenous infusion over 30-45 minutes once weekly during radiotherapy for 6 weeks. Then, after a 4-6 weeks break, each cohort will receive increasing doses of RRx-001 and temozolomide (in other words, a double dose escalation) to establish an acceptable safety and activity window, in other words, a dose range that is relatively free of toxicity as well as active against the tumor, although the primary purpose of this study is to assess or evaluate safety.

The reason or rationale to ""add on"" RRx-001 to radiotherapy and TMZ, which is described in more detail below on this page, is as follows: RRx-001 is a radiosensitizer and a chemosensitizer, which means that experimentally it increases the activity of radiation and chemotherapy in tumors. In addition, in other ongoing clinical trials, patients have experienced minimal toxicity or side effects with RRx-001 alone and also in combination with radiation in the brain; therefore, the hope is that RRx-001 will synergize or combine well with radiotherapy and TMZ in GBM without adding toxicity","Glioblastoma multiforme also known by the feared three letter acronym or abbreviation, GBM, is the most common, aggressive and deadly type of brain tumor, which is standardly treated with a combination of radiation and temozolomide (TMZ), an FDA approved chemotherapy agent, followed by temozolomide alone. One of the reasons why glioblastoma is so aggressive and deadly has to do with poor blood flow: it turns out that GBM has multiple inefficient and leaky blood vessels, which leads to ineffective and irregular delivery of nutrients and oxygen to the tumor.

As illogical as it may sound at first, depriving cancer cells of the oxygen and vital nutrients that they need to grow actually makes them more (not less as might be expected) aggressive and harder to treat.

Here's why: for radiation to have an effect on the tumor oxygen is required since the combination of oxygen and radiation produces unstable and highly reactive free radicals; these microscopic free radicals are the equivalent of a spray of bullets, which ricochet or bounce around violently inside the tumor producing catastrophic damage.

Likewise, for chemotherapy such as TMZ to work it has to reach the tumor and when blood vessels are so abnormal that the blood practically ceases to flow the TMZ, for example, may either never actually get there or may arrive in such small quantities that it is ineffective.

The expression ""survival of the fittest"" also applies: under the poorly oxygenated harsh conditions, which result from this sluggish blood flow only the toughest and most resistant cancer cells survive, making the tumor that much harder to eliminate with traditional therapies.

Think of the blood flow to the tumor as a swamp or a marsh where the rotten water seeps and pools rather than flows and where only the hardiest organisms can compete for scarce resources and low oxygen, which partly explains why this GBM tumor type in particular is often so hard to treat.

This clinical trial, called G-FORCE-1, tests the safety, tolerability and activity of RRx-001, an experimental anticancer agent, with standard radiation and temozolomide followed by temozolomide + RRx-001 in newly diagnosed GBM. Evidence in animals and in human patients with brain metastases, that is cancer cells, which have metastasized or spread to the brain from different locations in the body, has shown that RRx-001, which has many anticancer mechanisms and is generally very well tolerated both alone and in combination with radiation in other clinical trials, increases blood flow to tumors.

The increased blood flow has three possible beneficial consequences: 1) more oxygen is delivered to the tumor, which has the potential to increase the activity of radiation 2) more TMZ makes it to the tumor, which has the potential to increase the activity of TMZ and 3) as conditions in the tumor gradually improve from intolerable or barely tolerable to more acceptable, treatment sensitive cancer cells may start to reappear.

RRx-001 is also thought to work by stimulating the immune system to attack the tumor; tumor biopsies or samples from patients in other RRx-001 trials have demonstrated the infiltration or penetration of a particular kind of white cell called T-cells. As a fourth potentially beneficial consequence of the increased blood flow from RRx-001, these immune T-cells may have better access to the tumor, which may, in turn, increase killing of the cancer cells.

G-FORCE-1 is a Phase 1 trial, which means that the main endpoint is to test the safety and tolerability of RRx-001 in combination with radiation and temozolomide and not its activity; however patients will be followed for responses to treatment and overall survival",https://clinicaltrials.gov/study/NCT02871843,imaging; chemotherapy,Adult,Metastatic,Unclear
NCT00672243,Phase II Trial of Erlotinib Plus Sirolimus for Patients With Recurrent Malignant Glioma Multiforme,COMPLETED,['PHASE2'],INTERVENTIONAL,32,ACTUAL,"David Reardon, MD (Duke Health)",2007-04,2009-12,2008-09,Duke University,"Genentech, Inc.; OSI Pharmaceuticals",Glioblastoma; Gliosarcoma,Erlotinib + sirolimus,18 years,,ALL,"Primary objective:

To determine the 6-month progression free survival of patients with recurrent glioblastoma multiforme (GBM) treated with Erlotinib plus Sirolimus.

Secondary objectives:

To further define the safety and tolerability of Erlotinib plus Sirolimus when administered to patients with recurrent GBM; and to evaluate progression free survival, radiographic response and overall survival of patients with recurrent GBM treated with Erlotinib plus Sirolimus.","The primary objective of this study will be to determine the 6-month progression free survival of patients with recurrent GBM treated with Erlotinib plus Sirolimus.

This is an exploratory, single-arm, phase II study designed to assess the anti-tumor activity of a combinatorial regimen consisting of Erlotinib plus Sirolimus among patients with recurrent GBM. The combinatorial regimen of Erlotinib plus Sirolimus is rationally designed to simultaneously inhibit upstream (EGFR) and downstream (mTOR) mediators of Phosphatidylinositide 3-kinase/Protein Kinase B (PI3/AKT) signaling. In a recently completed phase I study, we determined that an EGFR inhibitor (Gefitinib) can be safely combined with Sirolimus at dose levels that are routinely used in the monotherapy setting. Therefore, the primary endpoint of this study is the probability of progression-free survival at 6 months among recurrent GBM patients treated with standard doses of Erlotinib plus Sirolimus. An important secondary objective is to further assess the safety of Erlotinib and Sirolimus for patients with recurrent GBM.",https://clinicaltrials.gov/study/NCT00672243,,Adult,Unclear,Unclear
NCT02869243,A Dose Escalation Phase I Study Of Human- Recombinant Bone Morphogenetic Protein 4 Administrated Via Convection-Enhanced Delivery In Patients With Progressive And/Or Multiple Recurrent Glioblastoma Multiforme,COMPLETED,['PHASE1'],INTERVENTIONAL,15,ACTUAL,"Francesco DiMeco, PI (Istituto Neurologico C. Besta Milan Italy)",7/18/2017,6/30/2021,10/16/2020,Stemgen,ORION Clinical Services,Glioblastoma,hrBMP4,18 years,75 years,ALL,The purpose of the study is to evaluate the feasibility and safety of intra-tumor and interstitial therapy with hBMP4 in increasing doses in patients with progressive and/or multiple recurrent Glioblastoma multiforme (GBM).,"This multicentre, open-label, dose escalating, Phase I study will enrol approximately 18 patients with progressive and/or multiple recurrent GBM, who after failure of standard therapies will receive GMP Human- recombinant Bone Morphogenetic Protein 4 via intra-tumour and interstitial delivery by CED.

Patients will undergo a resection or biopsy of the tumour, confirmation of viable malignant glioma tumour cells during frozen section performed by the institutional pathologists, and intra-tumor and interstitial placement under neuronavigational guidance of 2 or 3 catheters. No catheters will be placed at time of resection. After resection, catheters will be placed during a separate procedure several days later based upon the patient's condition as determined by both a clinical examination and routine MRI scan.

Patients will receive intra-tumour and interstitial CED of increasing amounts of hrBMP4 solutions (at a starting dose of 0.5 mg) and 1:70 gadolinium-diethylenetriamine pentaacetic acid (Gd-DTPA) in a total of 44-66 ml over up to 4-6 days at the discretion of the investigator.

Gd-DTPA will be co-infused with hrBMP4 to determine the extent of intra-tumour and interstitial drug delivery. Patients will be hospitalized from the time of the original surgery until the end of infusion of hrBMP4.

Patients will be followed for the duration of the study. The primary endpoint of the study is monitoring feasibility and patient safety for the incidence of Dose-Limiting Toxicity (DLT) following intra-tumour and interstitial therapy with hrBMP4 and to determine whether there is a Maximum Tolerated Dose (MTD).",https://clinicaltrials.gov/study/NCT02869243,imaging; surgery,Adult,Unclear,Surgery
